Date,Cash Rate Target (%)
30/9/2003,4.75
31/10/2003,4.75
30/11/2003,4.98
31/12/2003,5.23
31/1/2004,5.25
29/2/2004,5.25
31/3/2004,5.25
30/4/2004,5.25
31/5/2004,5.25
30/6/2004,5.25
31/7/2004,5.25
31/8/2004,5.25
30/9/2004,5.25
31/10/2004,5.25
30/11/2004,5.25
31/12/2004,5.25
31/1/2005,5.25
28/2/2005,5.25
31/3/2005,5.49
30/4/2005,5.5
31/5/2005,5.5
30/6/2005,5.5
31/7/2005,5.5
31/8/2005,5.5
30/9/2005,5.5
31/10/2005,5.5
30/11/2005,5.5
31/12/2005,5.5
31/1/2006,5.5
28/2/2006,5.5
31/3/2006,5.5
30/4/2006,5.5
31/5/2006,5.73
30/6/2006,5.75
31/7/2006,5.75
31/8/2006,5.99
30/9/2006,6
31/10/2006,6
30/11/2006,6.19
31/12/2006,6.25
31/1/2007,6.25
28/2/2007,6.25
31/3/2007,6.25
30/4/2007,6.25
31/5/2007,6.25
30/6/2007,6.25
31/7/2007,6.25
31/8/2007,6.45
30/9/2007,6.5
31/10/2007,6.5
30/11/2007,6.7
31/12/2007,6.75
31/1/2008,6.75
29/2/2008,6.96
31/3/2008,7.22
30/4/2008,7.25
31/5/2008,7.25
30/6/2008,7.25
31/7/2008,7.25
31/8/2008,7.25
30/9/2008,7.02
31/10/2008,6.18
30/11/2008,5.33
31/12/2008,4.35
31/1/2009,4.25
28/2/2009,3.35
31/3/2009,3.25
30/4/2009,3.06
31/5/2009,3
30/6/2009,3
31/7/2009,3
31/8/2009,3
30/9/2009,3
31/10/2009,3.21
30/11/2009,3.48
31/12/2009,3.74
31/1/2010,3.75
28/2/2010,3.75
31/3/2010,3.98
30/4/2010,4.22
31/5/2010,4.48
30/6/2010,4.5
31/7/2010,4.5
31/8/2010,4.5
30/9/2010,4.5
31/10/2010,4.5
30/11/2010,4.73
31/12/2010,4.75
31/1/2011,4.75
28/2/2011,4.75
31/3/2011,4.75
30/4/2011,4.75
31/5/2011,4.75
30/6/2011,4.75
31/7/2011,4.75
31/8/2011,4.75
30/9/2011,4.75
31/10/2011,4.75
30/11/2011,4.51
31/12/2011,4.3
31/1/2012,4.25
29/2/2012,4.25
31/3/2012,4.25
30/4/2012,4.25
31/5/2012,3.77
30/6/2012,3.54
31/7/2012,3.5
31/8/2012,3.5
30/9/2012,3.5
31/10/2012,3.27
30/11/2012,3.25
31/12/2012,3.03
