Date,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
1/3/2002,365000,241000,185000,166000,190000,123000,190000,245000
1/4/2002,374000,247000,184000,169000,190000,121000,189000,249000
1/5/2002,384000,254000,183000,172000,190000,119000,189000,254000
1/6/2002,394000,260000,183000,175000,190000,117000,188000,258000
1/7/2002,400000,262000,188000,177000,192000,119000,189000,264000
1/8/2002,406000,263000,193000,179000,193000,122000,189000,269000
1/9/2002,413000,265000,198000,181000,195000,124000,190000,275000
1/10/2002,423000,270000,201000,186000,199000,125000,192000,280000
1/11/2002,434000,275000,205000,190000,202000,127000,193000,286000
1/12/2002,444000,280000,208000,195000,206000,128000,195000,291000
1/1/2003,441000,277000,214000,200000,209000,134000,196000,294000
1/2/2003,438000,273000,219000,205000,213000,139000,197000,297000
1/3/2003,434000,270000,225000,209000,216000,145000,198000,300000
1/4/2003,443000,276000,230000,213000,219000,146000,199000,312000
1/5/2003,452000,282000,235000,217000,222000,148000,200000,323000
1/6/2003,460000,288000,240000,220000,225000,149000,200000,334000
1/7/2003,467000,290000,250000,225000,229000,154000,205000,343000
1/8/2003,473000,292000,259000,230000,232000,160000,210000,352000
1/9/2003,480000,295000,269000,235000,236000,165000,214000,360000
1/10/2003,493000,303000,278000,239000,241000,171000,218000,365000
1/11/2003,507000,312000,287000,243000,245000,177000,222000,370000
1/12/2003,520000,320000,296000,248000,250000,182000,226000,375000
1/1/2004,521000,315000,298000,248000,252000,188000,230000,375000
1/2/2004,522000,310000,301000,249000,253000,194000,235000,375000
1/3/2004,523000,305000,303000,250000,255000,200000,240000,375000
1/4/2004,515000,306000,303000,252000,257000,208000,243000,375000
1/5/2004,506000,307000,304000,255000,260000,217000,246000,375000
1/6/2004,498000,308000,305000,258000,262000,225000,249000,375000
1/7/2004,499000,306000,305000,259000,261000,227000,248000,368000
1/8/2004,499000,304000,305000,260000,260000,228000,246000,360000
1/9/2004,500000,302000,305000,261000,259000,230000,245000,352000
1/10/2004,505000,308000,307000,264000,266000,232000,250000,359000
1/11/2004,510000,315000,308000,267000,273000,235000,254000,366000
1/12/2004,515000,321000,310000,270000,280000,237000,259000,372000
1/1/2005,505000,317000,311000,270000,283000,238000,264000,373000
1/2/2005,496000,314000,311000,270000,287000,239000,270000,374000
1/3/2005,486000,310000,312000,270000,290000,240000,275000,375000
1/4/2005,491000,313000,312000,270000,293000,243000,277000,374000
1/5/2005,495000,317000,312000,271000,297000,247000,278000,374000
1/6/2005,500000,320000,312000,271000,300000,250000,280000,374000
1/7/2005,497000,320000,313000,272000,305000,248000,285000,371000
1/8/2005,493000,320000,314000,274000,310000,247000,290000,368000
1/9/2005,490000,320000,315000,275000,315000,245000,295000,365000
1/10/2005,493000,324000,317000,277000,323000,248000,303000,372000
1/11/2005,497000,328000,318000,278000,332000,250000,312000,380000
1/12/2005,500000,332000,320000,280000,340000,252000,320000,387000
1/1/2006,490000,331000,322000,280000,350000,255000,327000,386000
1/2/2006,480000,331000,323000,280000,360000,258000,334000,386000
1/3/2006,470000,330000,325000,280000,370000,260000,342000,385000
1/4/2006,478000,335000,327000,282000,385000,263000,344000,390000
1/5/2006,487000,340000,328000,284000,400000,267000,347000,395000
1/6/2006,495000,345000,330000,286000,415000,270000,350000,400000
1/7/2006,491000,345000,332000,287000,427000,270000,353000,404000
1/8/2006,486000,346000,333000,289000,438000,270000,356000,408000
1/9/2006,482000,346000,335000,290000,450000,270000,360000,413000
1/10/2006,488000,351000,338000,293000,457000,273000,367000,416000
1/11/2006,494000,355000,341000,297000,463000,275000,373000,418000
1/12/2006,500000,360000,344000,300000,470000,278000,380000,421000
1/1/2007,493000,355000,346000,302000,472000,279000,383000,424000
1/2/2007,487000,350000,349000,303000,473000,279000,386000,427000
1/3/2007,480000,345000,352000,305000,475000,280000,390000,430000
1/4/2007,491000,351000,360000,308000,472000,284000,391000,435000
1/5/2007,502000,356000,367000,312000,468000,288000,393000,440000
1/6/2007,512000,362000,375000,315000,465000,292000,395000,445000
1/7/2007,513000,365000,380000,322000,468000,289000,397000,450000
